Model Year,FullName,MPG,Eng Displ,# Cyl
1988,1988 ACURA 2.3CL/3.0CL,23,3.0,6
1988,1988 ACURA 2.3CL/3.0CL,25,2.3,4
1988,1988 ACURA 2.3CL/3.0CL,27,2.3,4
1988,1988 ACURA 3.2TL,22,3.2,6
1988,1988 ACURA 3.5RL,20,3.5,6
1988,1988 ACURA INTEGRA,27,1.8,4
1988,1988 ACURA INTEGRA,27,1.8,4
1988,1988 ACURA INTEGRA,28,1.8,4
1988,1988 ACURA NSX,20,3.0,6
1988,1988 ACURA NSX,20,3.2,6
1988,1988 ACURA SLX,17,3.5,6
1988,1988 AUDI A4,22,2.8,6
1988,1988 AUDI A4,23,2.8,6
1988,1988 AUDI A4,24,1.8,4
1988,1988 AUDI A4,26,1.8,4
1988,1988 AUDI A4 AVANT QUATTRO,21,1.8,4
1988,1988 AUDI A4 AVANT QUATTRO,21,2.8,6
1988,1988 AUDI A4 AVANT QUATTRO,22,2.8,6
1988,1988 AUDI A4 AVANT QUATTRO,24,1.8,4
1988,1988 AUDI A4 QUATTRO,21,1.8,4
1988,1988 AUDI A4 QUATTRO,21,2.8,6
1988,1988 AUDI A4 QUATTRO,22,2.8,6
1988,1988 AUDI A4 QUATTRO,24,1.8,4
1988,1988 AUDI A6,21,2.8,6
1988,1988 AUDI A6 AVANT QUATTRO,20,2.8,6
1988,1988 AUDI A6 QUATTRO,20,2.8,6
1988,1988 AUDI A8,20,3.7,8
1988,1988 AUDI A8 QUATTRO,20,4.2,8
1988,1988 BENTLEY BENTLEY ARNAGE,14,4.4,8
1988,1988 BENTLEY BENTLEY AZURE,13,6.8,8
1988,1988 BENTLEY BENTLEY BROOKLANDS R LIMO,12,6.8,8
1988,1988 BENTLEY BENTLEY CONTINENTAL R,13,6.8,8
1988,1988 BENTLEY BENTLEY CONTINENTAL SC,13,6.8,8
1988,1988 BENTLEY BENTLEY CONTINENTAL T,13,6.8,8
1988,1988 BENTLEY BENTLEY TURBO RT,13,6.8,8
1988,1988 BMW 318TI,26,1.9,4
1988,1988 BMW 318TI,27,1.9,4
1988,1988 BMW 323I,22,2.5,6
1988,1988 BMW 323I,23,2.5,6
1988,1988 BMW 323I CONVERTIBLE,22,2.5,6
1988,1988 BMW 323I CONVERTIBLE,24,2.5,6
1988,1988 BMW 323IS,22,2.5,6
1988,1988 BMW 323IS,24,2.5,6
1988,1988 BMW 328I,22,2.8,6
1988,1988 BMW 328I,24,2.8,6
1988,1988 BMW 328I CONV,23,2.8,6
1988,1988 BMW 328I CONV,23,2.8,6
1988,1988 BMW 328IS,23,2.8,6
1988,1988 BMW 328IS,23,2.8,6
1988,1988 BMW 528I,21,2.8,6
1988,1988 BMW 528I,24,2.8,6
1988,1988 BMW 528I TOURING,21,2.8,6
1988,1988 BMW 528I TOURING,21,2.8,6
1988,1988 BMW 540I,18,4.4,8
1988,1988 BMW 540I,18,4.4,8
